,class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2
2,2,2,1,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3
3,1,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
4,2,1,1,4,2,4,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3,2
5,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2
6,2,2,1,3,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,3
7,2,2,2,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,3
8,1,1,2,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,2
9,2,2,1,2,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,3
10,2,1,2,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,2
11,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3
12,2,2,1,2,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,1,2
13,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1
14,2,1,3,1,2,4,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,3,2
15,2,3,3,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1
16,2,4,3,3,2,4,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3,2
17,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
18,1,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
20,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,3
21,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,2
22,2,2,2,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,3
23,2,2,2,3,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,2,3
24,2,2,1,3,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,3
25,1,4,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,2
26,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3
27,2,1,2,3,1,3,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,2,3
28,2,4,3,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
29,2,1,1,2,1,2,1,2,1,2,2,3,1,1,1,1,1,1,1,1,2,4,4
30,2,2,1,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,3
31,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
32,2,1,2,2,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3
33,2,1,2,1,1,3,1,1,2,4,1,4,1,3,1,1,1,1,1,1,2,5,5
34,2,2,2,2,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,3
35,2,1,3,2,1,3,1,2,1,5,2,3,1,1,1,1,1,1,1,1,2,4,4
36,2,3,3,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1
37,1,1,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,2,1,1
38,2,1,3,2,1,2,1,2,1,4,2,3,1,1,1,1,1,1,1,1,2,4,4
39,2,2,1,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,3
40,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2
41,2,1,2,2,1,3,1,1,2,2,1,4,1,3,1,1,1,1,1,1,1,5,5
42,2,1,3,1,2,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,1
43,1,1,2,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,4,2
44,2,1,1,2,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,1,2,3
45,2,1,2,3,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2
46,2,1,2,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,3
47,2,1,1,3,1,3,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,2,3
48,2,1,2,2,1,3,1,1,2,2,1,4,1,3,1,1,1,1,1,1,2,1,5
49,2,4,2,2,1,3,1,1,2,5,1,4,1,3,1,1,1,1,1,1,1,1,5
50,2,1,2,1,1,2,1,1,2,5,1,4,1,3,1,1,1,1,1,1,1,1,2
51,2,1,1,3,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2
52,2,2,1,3,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,3
53,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1
54,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1
55,2,2,2,2,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,1,1,3
56,2,4,3,4,2,4,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3,2
57,2,2,1,3,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,2,2
58,2,1,1,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2
59,2,1,2,1,1,2,1,1,2,4,1,4,1,3,1,1,1,1,1,1,1,5,5
60,2,3,3,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1
61,2,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,3
62,2,2,1,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,1,3
63,2,2,2,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,3
64,2,2,2,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2
65,2,4,1,1,2,4,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,3,2
66,2,1,1,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2
67,2,4,2,2,1,2,1,1,2,5,1,4,1,3,1,1,1,1,1,1,2,1,2
68,2,1,2,2,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,1,2,2
69,2,1,3,4,2,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,4,1
70,2,4,3,2,1,3,1,2,1,4,2,3,1,1,1,1,1,1,1,1,2,4,4
71,2,2,2,3,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,1,3
72,2,4,3,2,1,3,1,2,1,5,2,3,1,1,1,1,1,1,1,1,2,4,4
73,2,1,2,1,1,2,1,1,2,4,1,4,1,3,1,1,1,1,1,1,1,1,5
74,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2
75,2,4,1,2,1,3,1,2,1,4,2,3,1,1,1,1,1,1,1,1,2,4,4
76,2,1,1,3,1,3,1,2,1,2,2,3,1,1,1,1,1,1,1,1,3,4,4
77,2,4,2,1,1,3,1,1,2,4,1,4,1,3,1,1,1,1,1,1,2,5,5
78,1,1,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,2,4,1
79,2,4,2,1,1,2,1,1,2,2,1,4,1,3,1,1,1,1,1,1,2,5,2
80,2,1,1,1,2,4,1,2,2,1,2,1,2,1,1,1,1,1,1,2,2,1,2
81,1,1,2,3,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2
82,2,4,3,4,2,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,5,1
83,2,1,3,4,2,4,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2
84,2,1,2,2,1,3,1,1,2,5,1,4,1,3,1,1,1,1,1,1,1,1,2
85,2,1,1,1,2,4,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2
86,2,2,1,3,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,1,1,2
87,2,1,1,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2
88,2,4,2,1,1,3,1,1,2,5,1,4,1,3,1,1,1,1,1,1,1,5,2
89,2,3,3,1,2,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,1
90,2,1,3,1,2,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,5,1
91,2,2,1,3,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2
92,2,1,2,2,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,2
93,2,1,2,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,3
94,2,1,1,1,2,4,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3,2
95,2,1,1,3,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,1,2
96,2,4,2,1,1,3,1,1,2,4,1,4,1,3,1,1,1,1,1,1,2,1,2
97,2,1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2
98,2,2,1,3,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,1,2
99,2,1,2,3,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,2
100,2,1,3,1,2,4,1,2,2,4,2,1,2,1,1,1,1,1,1,2,1,1,2
101,2,2,1,2,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2
102,2,4,2,2,1,3,1,1,2,5,1,4,1,3,1,1,1,1,1,1,2,1,2
103,2,1,2,2,1,2,1,1,2,2,1,4,1,3,1,1,1,1,1,1,1,5,5
104,2,2,2,3,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,2
105,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,3
106,2,1,2,2,1,2,1,1,2,5,1,4,1,3,1,1,1,1,1,1,2,5,2
107,2,2,2,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3
108,2,2,2,3,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,1,3
109,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,3
110,2,1,1,2,1,3,1,1,2,5,1,2,1,1,1,1,1,1,1,1,1,2,2
111,2,3,3,4,2,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,1
112,2,1,3,3,1,2,1,2,1,5,2,3,1,1,1,1,1,1,1,1,3,4,4
113,2,1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,3
114,1,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,1
115,2,1,2,2,1,3,1,1,2,4,1,4,1,3,1,1,1,1,1,1,2,1,2
116,2,3,3,4,2,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,5,1
117,2,1,2,2,1,3,1,1,2,5,1,4,1,3,1,1,1,1,1,1,1,5,2
118,2,1,1,2,1,3,1,2,1,4,2,3,1,1,1,1,1,1,1,1,3,4,4
119,2,3,3,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1
120,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2
121,2,1,2,3,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,3
122,1,4,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,2
123,2,4,1,4,2,4,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3,2
124,2,1,1,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,1,3
125,2,1,1,3,2,4,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,2
126,2,2,1,2,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,2,2
127,2,4,3,4,2,4,1,2,2,6,2,1,1,1,1,1,1,1,1,2,2,3,2
128,2,1,1,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2
129,2,2,1,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,3
130,2,2,1,3,1,3,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,1,2
131,2,2,2,3,1,3,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,1,3
132,2,4,1,3,1,3,1,2,1,5,2,3,1,1,1,1,1,1,1,1,3,4,4
133,2,1,2,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,3
134,2,4,1,3,1,2,1,2,1,4,2,3,1,1,1,1,1,1,1,1,2,4,4
135,1,1,2,3,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,2,4,1
136,2,4,3,3,1,3,1,2,1,5,2,3,1,1,1,1,1,1,1,1,2,4,4
137,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2
138,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,4,2
139,2,2,1,2,1,3,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,2,2
140,2,1,2,1,1,2,1,1,2,5,1,4,1,3,1,1,1,1,1,1,1,5,5
141,2,2,2,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,3
142,2,3,3,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1
143,2,4,2,1,1,2,1,1,2,5,1,4,1,3,1,1,1,1,1,1,1,5,5
144,2,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2
145,2,1,3,4,2,4,1,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2
146,2,4,3,3,2,4,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,3,2
147,2,1,2,2,1,3,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,2,3
148,2,2,1,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2
149,2,2,2,3,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,3
150,2,1,2,3,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,1,2
151,2,1,1,1,2,4,1,2,2,4,2,1,2,1,1,1,1,1,1,2,2,3,2
152,2,1,2,3,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,1,2
153,2,3,3,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1
154,2,1,1,3,1,2,1,2,1,5,2,3,1,1,1,1,1,1,1,1,3,4,4
155,2,1,2,1,1,3,1,1,2,5,1,4,1,3,1,1,1,1,1,1,1,1,2
156,2,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2
157,2,1,2,3,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2
158,2,2,2,3,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3
159,2,2,1,2,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,2
160,2,2,1,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,3
161,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2
162,2,1,3,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1
163,2,4,2,1,1,3,1,1,2,2,1,4,1,3,1,1,1,1,1,1,2,5,2
164,2,1,2,3,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2
