,class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,human_interference,smell_quality,c_molybdites,spore_color,no_rings
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,0,1,1,1
2,2,2,1,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3,1,0,1,1,1
3,1,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4,2,1,1,4,2,4,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3,2,1,0,1,1,1
5,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,1
6,2,2,1,3,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,3,1,0,1,1,1
7,2,2,2,3,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,3,1,0,1,1,1
8,1,1,2,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1
9,2,2,1,2,1,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,3,1,0,1,1,1
10,2,1,2,2,1,3,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,2,1,0,1,1,1
11,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,0,1,1,1
12,2,2,1,2,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,1,2,1,0,1,1,1
13,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,0,1,1,1,1
14,2,1,3,1,2,4,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,3,2,1,0,1,1,1
